"product_id","product_title","product_level","product_type","travel_day","product_price","departure_code","des_city_code","toursim_tickets_type"
"210002916","<西安兵马俑-华山-龙门石窟-河南少林寺-开封卧高5日游>陕豫连线，升1晚五星，区间高铁，品六国宴、少林素斋、0购物，管家式导游，上海往返","4","Y002","5天4晚","2939","310000","410100","03001"
"210004999","<河南-郭亮村-万仙山-云台山-少林寺-龙门-开封卧高5日游>暑期预售，郑州2晚五星国贸或建国，纯玩0购物，品少林素斋，管家式导游，上海往返","4","Y002","5天4晚","2423","310000","410100","03001"
"210006044","<西安兵马俑-华山-龙门石窟-河南少林寺-开封卧高5日游>陕豫连线，升1晚五星，区间高铁，品六国宴、少林素斋、0购物，管家式导游，南京往返","4","Y002","5天4晚","2839","320100","410200","03001"
"210007739","<河南-云台山-龙门石窟-少林寺-开封双高4日游>暑期预售，郑州2晚地标五星指定国贸或建国，纯玩0购物，品少林素斋，管家式导游，上海往返","5","Y002","4天3晚","1949","310000","410300","03001"
"210008158","<山东大裂谷-泰山-曲阜双高3日游>优选导游带团，甄选山东5A景点，体验溶洞惊险漂流，登泰山逛岱庙观封禅大典，全程0购物","5","Y002","3天2晚","1946","320500","370800","03001"
"210010631","<山东济南-泰山-曲阜双高3日游>明星导游带团，0购物，甄选山东5A景点，岱庙品茶，登泰山观中华泰山封禅大典，可升级宿山顶观日出","5","Y002","3天2晚","1738","310000","370100","03001"
"210010920","<河南-云台山-龙门石窟-少林寺-开封双高4日游>暑期预售，郑州2晚地标五星指定国贸或建国，纯玩0购物，品少林素斋，管家式导游，南京往返","4","Y002","4天3晚","1742","320100","410200","03001"
"210011021","<山东大裂谷-泰山-曲阜双高3日游>优选导游带团，甄选山东5A景点，体验溶洞惊险漂流，登泰山逛岱庙观封禅大典，全程0购物","5","Y002","3天2晚","1999","310000","370800","03001"
"210011046","<山东济南-泰山-曲阜双高3日游>明星导游带团，0购物，甄选山东5A景点，岱庙品茶，登泰山观中华泰山封禅大典，可升级宿山顶观日出","4","Y002","3天2晚","1654","320200","370800","03001"
"210011079","<武汉-武当山-神农架-三峡双动6日游>注册品牌、纯玩0购物、升级5晚优质住宿、赠送多样体验活动、享当地特色美食","4","Y002","6天5晚","2668","330100","420100","03001"
"210011089","<黄山3日游>门票全含  一晚宿山上观日出 报名即享登山三宝","4","Y002","3天2晚","567","320100","341000","03001"
"210011090","<黄山2日游>宿山上 观日出 门票全含 报名即享登山三宝","5","Y002","2天1晚","544","320100","341000","03001"
"210011091","<黄山-宏村-西递3日游>门票全含（黄山，宏村，西递），纯玩无购物，一晚宿山上观日出，一晚宿山下，可升级酒店","5","Y002","3天2晚","763","320100","341000","03001"
"210011105","<连云港2日游>2k人出游推荐 周末连岛海滨亲水/花果山纳凉 1天1点不赶路不辛苦 惊喜打卡连博 畅享0购慵懒假期","5","Y002","2天1晚","388","320100","320700","03001"
"210011106","<连云港2日游>1天连岛海滨浴场 1天登顶海上云台山 宿商务酒店 门票全含0购物 1天1点不赶路","5","Y002","2天1晚","295","320100","320700","03001"
"210011108","<连云港2日游>亲子出游宿舒适五星酒店 尽享慵懒假期 含连岛沙滩浴场 畅游海滨 第2天自由选择花果山 不赶不累 人气推荐","4","Y002","2天1晚","479","320100","320700","03001"
